"Name","SM_Facebook_id","SM_Facebook_user"
Margret Vosseler-Deppe,"352242755086",margret.vosseler.deppe
,,katrin.lange.33
Ralph Brinkhaus,"586378098123212",ralph.brinkhaus
Kerstin Celina,"678815422181853",kerstin.celina.gruen
Ann Christin von Allwörden,"1493955104165802",acva78
,,sebastian.walter.75098
Heike Troles,"1551114491865638",troles.heike
Bürgerbüro Danny Freymark,"1606840112910317",buergerbuero
"Oliver Kirchner","1232415986793434","Oliver Kirchner"
Bodo Middeldorf,"1201908786523867",bodomiddeldorf.fdp
Karl A. Lamers,"239234639550868",KarlALamers
Claudia Tausend,"502163379819352",tausendmalbesser
Matthias Czech,"327521987303206",Matthias.Czech.MdHB
Ines Claus - Ihre Stimme in Wiesbaden,"151921725498528",ines.claus.mdl
Martin Modschiedler,"410328232411821",Modschiedler.Martin
,,pebudke
Axel  Fischer,"55574168445",Axel  Fischer
Gülistan Yüksel - Mitglied des Bundestages,"346662715427037",guelistanyueksel
Sven Wolf,"145460302151603",svenwolf.remscheid
Roderich Kiesewetter,"652126884801498",roderich.kiesewetter
Tobias Heilmann,"1387711347939337",TobHeilmann
Ralf-Norbert Bartelt,"566733907031278",ralfnorbertbartelt
"Marcel Luthe","293196527476757",FreierDemokrat.de
Andreas Statzkowski,"1663232483938125",astatzkowski
,,birger.groning.96
Anette Meyer Zu Strohen,"295661934205458",Anette Meyer Zu Strohen
,,michael.hanko.988
Ulrich Lechte,"259242574566478",lechte18
"Frank Magnitz","1760665557596258",frankmagnitz.afd
Dirk Spaniel,"1801375653478633",spaniel.afd
Volker Senftleben,"1686030308358146",volkersenftleben4landtag
,,stephanie.schuhknecht
Matthias Miersch,"1394213350791427",miersch.matthias
"Angelika Glöckner, SPD","339735429489657",gloeckner.spd
Achim Kessler,"386709755049152",DrAchimKessler
,,ricarda.bud
"Hendrik Lange","360270374032363","Hendrik Lange"
Martin Grath,"165251614056533",MdLMartinGrath
"Christian Loose","838100569610140",Loose.AfD
Rainer Hinderer,"371181196378044",Rainer.HIndererMdL
Andrej Hunko,"704862432868718",andrej.hunko
Hans-Thomas Tillschneider,"786691951458126",unddieVerantwortungwaerdein
Anja Butschkau,"620493278128163",butschkau2017
Marion Gentges,"329063703957074",marion.gentges
Katrin Budde,"1653494491643518",buddekatrin
Markus Frohnmaier,"1409631672620315",frohnmaier
Claas RohmeyerB,"330344354117",claasrohmeyermdbb
Dimitri Schulz,"1716357461739458",dimitri.schulz.afd
Christian Blex,"750682865004850",Christian Blex
Felix Martin,"635930310090217",FelixMartin.MdL
Niema Movassat,"176096052587039",Movassat.Niema
Thore Schäck,"2423468351211121",thoreschaeck.fdp
Janine Wissler,"403554119734838",JanineWissler
Kai Falcke,"376251789186015",Kai Falcke
Franziska Rath,"640779782657702",franziskamariarath
"Martin Hohmann","1942497819398764",martinhohmannmdb
Frauke Petry,"782456275140355",Dr.Frauke.Petry
Klaus Adelt,"348252058621412",adelt.klaus
,,nicole.waltermundt
Klaus Mindrup,"334258583436365",klausmindrupmdb
Peri Arndt,"149631798428748",PeriArndtMdHB
,,SEBASTIAN.koerber.FO
Thomas Nückel,"196967314193007",ThomasNueckel
"Markus Tressel","129343494404830",markustresselmdb
Bernhard Braun,"710894025774211",bernhardbraunmdl
Ansgar Heveling,"158429857667868",aheveling
Peter Aumer,"272174299602455",PeAumer
Holger Stahlknecht,"1098213770192004",HolgerStahlknecht
Andreas Deuschle,"376276470032",andydeuschle
Hugh Bronson,"1285623548123430",DrHughBronson
Henning Homann,"2064575530430722",HenningHomannSPD
Jürgen Trittin,"87410317539",juergen.trittin
Lutz Liebscher,"2231266860218186",Lutz.Liebscher.Jena
Laura Hopmann,"303030400150594",laurahopmannmdl
Carsten Linnemann,"322652114566677",carsten.linnemann.3
,,tim.pargent
Daniel May,"1561892277177503",danielmaykb
Christian Herrgott,"101260961261382",christian.herrgott.cdu
,,uwe.adler.17
Babett Pfefferlein,"1413810155586517",babettpfefferlein
Bijan Kaffenberger,"1848985438732460",bijan.kaffenberger.landtag
Manfred Eibl,"1999922856724893",Manfred.EiblLTW2018
Günther Bergmann,"284670818275207",drguentherbergmann
Sebastian Watermeier,"1966782206947427",watermeierMdL
"Lena Saniye Güngör","401479227125083","Lena Saniye Güngör"
Dirk Adomat,"308830252860856",Dirkwaehlen
Mathias Stein - Sozialdemokrat im Deutschen Bundestag,"344156702608625",mathias.stein.spd
Rainer Fredermann,"333289203423740",R.Fredermann
Rudolf Henke,"1791506197831237",rudolfhenkemdb
Dirk Stettner,"268734556802162",StettnerDirk
,,patrick.be.167
Landtagsabgeordneter Armin Jahl,"340015019713363",jahl.armin
Sascha Binder,"45040294859",SaschaBinder.SPD
,,rene.aust.54
,,holger.dremel
Marc Henrichmann,"194705457238325",m.henrichmann
,,bijan.kaffenberger
Torbjörn Kartes,"238277573271126",KartesMdB
Hans-Ulrich Rülke,"104303913261902",uliruelke
Sabine Kurtz,"2034613500116484",SabineKurtzMdL
,,silvia.bruennel
Hans-Jörn Arp,"1830979573825995",HansJoernArp
Bodo Ramelow,"669243103118034",bodo.ramelow
,,carla.kniestedt
,,thadaeus.koenig
Hagen Reinhold,"232265420545076",hagenreinholdfdp
Stefan Räpple  AfD,"449907298535710",stefan.raepple.mdl
Stefan Möller,"1491751574424306",stefan.moeller.afd
Lothar Rommelfanger,"1609626219311120",Lothar Rommelfanger
Heike Baehrens,"1475998419282812",baehrensmdb
,,ivo.teichmann.5
,,ronald.pohle.3
"Wolfgang Strengmann-Kuhn","187802098063534",wolfgang.strengmannkuhn
Katalin Gennburg,"976441475766481",KatalinGennburg
Karsten Möring,"264784217294928",Karsten.Moering
Peter Weiß,"503589029719087",peterweiss1998
André Bock,"308938222527099",andrebock.cdu
Dirk Wiese,"369365856491724",dirkwiesespd
,,marit.wagler
Wolfgang Gedeon,"1701015746832255",Wolfgang.Gedeon
Rüdiger Kauroff,"286580808456521",Ruediger.Kauroff
Gülseren Demirel,"1904641943161520",GuelserenDemirel
Jan Schiffers,"1374415119313069",Jan.Schiffers.AfD
Nico Brünler,"2129527070430466",Nico Brünler
"Christian Goiny","140091366077586","Christian Goiny"
,,stephankuehn
"Eva Gottstein, Mitglied des Bayerischen Landtags","164366363767360",evagottsteinmdl
Oliver Fritzsche,"502572660479191",Oliver Fritzsche
Claudia Papst-Dippel,"2226953104248070",claudia.papstdippel
Detlev Schulz-Hendel,"218934548602456",schulz.hendel
,,eva.quantebrandt
Ulrich Reuter,"580233579014681",ulrichreutermdl
Martin Rivoir,"1807246156166520",martin.rivoir
,,thomas.loser.5030
,,Markus-Tressel-207677754307
,,andreas.dressel.58
Niels Annen,"601163706652420",nielsannen
"Jürgen Braun","1889496344625839",braunafd
Sven Heinemann,"224410304422069",SvenHeinemannMdA
"Hans-Peter Friedrich, CSU","105589846177501",HansPeterFriedrichCSU
Patrick Schnieder,"511399752215114",PatrickSchniederMdB
Olaf Schwede - Sozialdemokrat & Gewerkschafter,"176927859009580",schwede.spd
,,falk.wagner.hb
Danny Eichelbaum,"1532648687010493",Danny Eichelbaum
Matthias Kollatz,"704937252955470",MKollatz
Tobias Koch,"1375729502752664",Tobias.Koch.CDUSH
,,uli.grot
Uwe Schmidt,"285483338534105",schmidtmachts
Christof Rasche,"260620527360604",ChristofRasche
Henning Höne,"167807820022176",henninghoene
Raimund Haser,"1672341306387372",raimundhaserCDU
Ingo Hahn,"323724108344975",Prof.Dr.IngoHahnMdL
Marcel Huber,"575238505835592",marcel.huber.mdl
Achim Post,"275065419228117",Achim.Post
,,lettenev
Carola Bluhm,"892225304144436",Carola.Bluhm.Linke
"Stefan Keuter","127627877837359",Stefan.Keuter.AfD
Albrecht Glaser,"1695216187437098",AlbrechtGlaser
Axel Müller,"696134357234281",cduaxelmueller
