"uuid","category","group","Name","Fraktion","Fraktion.1","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"4f9bf8b7-4a6d-41b1-be31-15fb015184a4","Parlamentarier","EU-Parlament","Moritz Körner","FDP","<U+FEFF>RE","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:MoritzKoernerMEP.jpg","https://de.wikipedia.org/wiki/Moritz_K%C3%B6rner","männlich","moritzkoerner",21794101,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"247df2cc-3047-42d2-a6d9-00b70b485682","Parlamentarier","EU-Parlament","Dietmar Köster","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Dietmar_K%C3%B6ster","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"2dec8316-0dfe-4fad-9a08-8a04b64c9f7d","Parlamentarier","EU-Parlament","Maximilian Krah","AfD","<U+FEFF>ID","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Maximilian_Krah.jpg","https://de.wikipedia.org/wiki/Maximilian_Krah","männlich","KrahMax",1162901370,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"32d7067c-37c8-4bf4-8a9e-7b865e2ce821","Parlamentarier","EU-Parlament","Constanze Krehl","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Constanze_Krehl-Foto_Susie-Knoll.jpg","https://de.wikipedia.org/wiki/Constanze_Krehl","weiblich","ConstanzeKrehl",2373681362,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"57192ea2-22df-4be2-8345-00bbfd29f174","Parlamentarier","EU-Parlament","Joachim Kuhs","AfD","<U+FEFF>ID","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Joachim_Kuhs","männlich","Joachim_Kuhs",968551492390129664,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"877cd6cf-4ad3-416b-a916-48428e4b850c","Parlamentarier","EU-Parlament","Sergey Lagodinsky","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Sergey_Lagodinsky.jpg","https://de.wikipedia.org/wiki/Sergey_Lagodinsky","männlich","SLagodinsky",436470131,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"d64bae2c-cc30-4a76-bea9-4f233fa8cdb4","Parlamentarier","EU-Parlament","Bernd Lange","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Lange,_Bernd-9242.jpg","https://de.wikipedia.org/wiki/Bernd_Lange_(Politiker,_1955)","männlich","berndlange",17576181,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"640bd99d-e4b0-46f8-b788-c113fd4a3c76","Parlamentarier","EU-Parlament","Katrin Langensiepen","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Katrin_Langensiepen,_Sozialpolitische_Sprecherin_der_Fraktion_B%C3%BCndnis_90_Die_Gr%C3%BCnen_im_Rat_der_Landeshauptstadt_Hannover.jpg","https://de.wikipedia.org/wiki/Katrin_Langensiepen","weiblich","k_langensiepen",950392790,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"4fbc7ada-aa06-4de8-8ad3-0d92037c8cbb","Parlamentarier","EU-Parlament","Peter Liese","CDU","<U+FEFF>EPP","Nordrhein-Westfalen","","https://de.wikipedia.org/wiki/Datei:Peter_Liese_2018.jpg","https://de.wikipedia.org/wiki/Peter_Liese","männlich","peterliese",42590805,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"4d198674-06da-44fb-afde-820e3579880c","Parlamentarier","EU-Parlament","Sylvia Limmer","AfD","<U+FEFF>ID","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_female.svg","https://de.wikipedia.org/wiki/Sylvia_Limmer","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"45b07e10-8e2a-465a-8289-1d0cbe4ddbe4","Parlamentarier","EU-Parlament","Norbert Lins","CDU","<U+FEFF>EPP","Baden-Württemberg","","https://de.wikipedia.org/wiki/Datei:Norbert_Lins_EP_1.jpg","https://de.wikipedia.org/wiki/Norbert_Lins","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"9b75b908-28aa-4ec5-afd8-7e784c6dfff5","Parlamentarier","EU-Parlament","Erik Marquardt","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Erik_Marquardt_(48836561562)_(cropped).jpg","https://de.wikipedia.org/wiki/Erik_Marquardt","männlich","ErikMarquardt",149441850,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
